Gen,GenAvg,BestFit
0,378.3,405
1,388.8,407
2,394.2,407
3,398.6,407
4,403.3,407
5,405.3,407
6,406.4,407
7,407,407
8,407,407
9,406.7,407
10,407.3,409
11,407.6,409
12,407.7,409
13,408.1,409
14,408.7,411
15,408.4,411
16,408.6,411
17,408.8,411
18,408.8,411
19,407.4,411
20,408.9,411
21,408.7,411
22,408.9,411
23,408.9,411
24,408.2,411
25,409,412
26,408.7,412
27,409.5,412
28,409.8,413
29,410.3,413
30,410.7,413
31,411,413
32,411.3,413
33,411.7,413
34,412.5,413
35,412.9,413
36,405.9,413
37,413,413
38,412.6,413
39,412.6,413
40,412.6,413
41,413.1,414
42,413.2,414
43,413.1,414
44,413.2,414
45,413.4,414
46,413.5,414
47,413.5,414
48,413.4,414
49,412.8,414
50,413.5,414
