<<<<<<< HEAD
Gen,GenAvg,BestFit
0,389.7,408
1,395.4,410
2,400,410
3,404.5,410
4,407.1,410
5,408.8,410
6,409.1,410
7,409.6,410
8,409.8,410
9,408.9,410
10,409.9,410
11,409.6,410
12,410,410
13,409.4,410
14,410.1,411
15,410.1,411
16,409.9,411
17,409.3,411
18,409.7,411
19,410.4,411
20,410.5,411
21,410.7,411
22,410.8,411
23,410.2,411
24,410.8,411
25,410.9,411
26,410.9,411
27,411,411
28,410.8,411
29,411.1,412
30,411.1,414
31,411.3,414
32,411.5,414
33,411.7,414
34,412.3,414
35,412.8,414
36,413.4,414
37,412.8,414
38,413.2,414
39,413.8,414
40,414,414
41,413.5,414
42,413.6,414
43,413.8,414
44,414,414
45,414,414
46,414,414
47,414,415
48,413.3,415
49,414.1,415
50,413.1,415
=======
Gen,GenAvg,BestFit
0,389.7,408
1,395.4,410
2,400,410
3,404.5,410
4,407.1,410
5,408.8,410
6,409.1,410
7,409.6,410
8,409.8,410
9,408.9,410
10,409.9,410
11,409.6,410
12,410,410
13,409.4,410
14,410.1,411
15,410.1,411
16,409.9,411
17,409.3,411
18,409.7,411
19,410.4,411
20,410.5,411
21,410.7,411
22,410.8,411
23,410.2,411
24,410.8,411
25,410.9,411
26,410.9,411
27,411,411
28,410.8,411
29,411.1,412
30,411.1,414
31,411.3,414
32,411.5,414
33,411.7,414
34,412.3,414
35,412.8,414
36,413.4,414
37,412.8,414
38,413.2,414
39,413.8,414
40,414,414
41,413.5,414
42,413.6,414
43,413.8,414
44,414,414
45,414,414
46,414,414
47,414,415
48,413.3,415
49,414.1,415
50,413.1,415
>>>>>>> c7cec7169edea7a901c9242ef34f1b79be23791c
