Run Number 24
Generation,Generation Average,Best Fitness Found
0,392,402
1,395,402
2,395.9,402
3,397.25,404
4,398.25,405
5,399.2,405
6,400.1,405
7,401.1,405
8,401.9,406
9,402.8,407
10,403.25,407
11,403.7,407
12,404.25,407
13,405,410
14,405.65,410
15,406.45,410
16,407.15,411
17,407,411
18,407.4,411
19,407.1,411
20,407.75,411
21,408.25,411
22,408.7,414
23,409.15,414
24,409.9,414
25,410.65,415
26,411.55,417
27,412.2,417
28,412.6,417
29,412.9,417
30,413.55,417
31,414.3,418
32,414.85,418
33,414.95,418
34,415.45,418
35,415.9,418
36,416.2,419
37,416.25,419
38,416.55,419
39,416.75,419
40,417.1,419
41,417.45,419
42,417.45,419
43,417.55,419
44,417.4,419
45,418,419
46,418.2,419
47,418.4,419
48,418.6,419
49,418.6,419
50,418.4,419
51,418.55,419
52,418.7,419
53,418.65,419
54,418.75,420
55,418.95,420
56,418.9,420
57,418.8,420
58,419.1,421
59,419.25,421
60,418.7,421
61,418.95,421
62,418.9,421
63,419.45,421
64,419.55,421
65,419.75,421
66,419.65,421
67,420.05,421
68,420.15,422
69,420.4,422
70,420.5,422
71,420.7,422
72,420.85,422
73,419.55,422
74,420.9,422
75,420.35,422
76,420.6,422
77,421.15,422
78,420.75,422
79,421,422
80,421.2,422
81,421.2,422
82,420.4,422
83,421.2,422
84,421.4,422
85,421.5,422
86,421.5,422
87,421.55,422
88,421.25,422
89,421.35,422
90,421.25,422
91,421.45,422
92,421.8,422
93,421.85,422
94,421.85,422
95,421.25,422
96,421.95,422
97,421.65,422
98,421.75,422
99,421.85,422
100,421.75,422
