Gen,GenAvg,BestFit
0,391.4,401
1,393.25,403
2,394.6,403
3,396.1,403
4,397.75,408
5,399.05,408
6,400.45,408
7,401.65,408
8,402.9,408
9,403.8,408
10,404.85,408
11,405.4,408
12,405.8,408
13,406.35,408
14,406.65,408
15,407.2,409
16,407.4,409
17,407.15,409
18,407.85,409
19,407.55,409
20,407.8,409
21,407.9,409
22,408.25,409
23,408.4,409
24,407.95,409
25,408.55,409
26,408.35,409
27,408.65,409
28,408.75,409
29,408.8,409
30,408.9,409
31,408.6,409
32,409,409
33,408.7,409
34,408.6,409
35,408.6,409
36,407.8,409
37,407.85,409
38,408.95,409
39,408.9,409
40,409,409
41,408.8,409
42,409,409
43,409,409
44,408.7,409
45,408.3,409
46,409,409
47,408,409
48,408.65,409
49,409,409
50,408.55,409
51,408.95,409
52,409,409
53,409,409
54,409,409
55,409,409
56,409,409
57,408.7,409
58,409,409
59,408.85,409
60,409,409
61,408.95,409
62,408.95,409
63,408.95,409
64,409,409
65,409.05,410
66,408.45,410
67,409.1,410
68,409.15,410
69,409.25,410
70,409.35,411
71,409.45,413
72,409.05,413
73,409.65,413
74,409.1,413
75,409.85,413
76,410,413
77,409.6,413
78,410.5,413
79,410.9,413
80,411.2,413
81,411.5,414
82,411.2,414
83,411.35,414
84,412.25,414
85,412.6,414
86,412.9,414
87,412.4,414
88,413.25,414
89,413.35,414
90,413.3,414
91,413.5,414
92,413.65,414
93,413.65,414
94,413.7,414
95,413.7,414
96,413.55,414
97,413.8,414
98,413.85,414
99,413.75,414
100,413.2,414
101,414,414
102,414,414
103,413.35,414
104,414,414
105,413.3,414
106,413.3,414
107,414,414
108,413.95,414
109,414,414
110,414,414
111,412.85,414
112,413.55,414
113,412.6,414
114,414,414
115,413.85,414
116,414.05,415
117,413.4,415
118,413.25,415
119,414.1,415
120,414.2,415
121,414.3,415
122,413.5,415
123,413.6,415
124,414.4,415
125,413.95,415
126,414.3,415
127,414.6,415
128,413.95,415
129,413.4,415
130,413.95,415
131,414.05,415
132,414,415
133,413.3,415
134,414.9,415
135,414.15,415
136,414.95,415
137,414.75,415
138,414.1,415
139,414.2,415
140,413.4,415
141,414.3,415
142,414.15,415
143,414.9,415
144,414.25,415
145,414.95,415
146,414.15,415
147,415,415
148,415,415
149,414.25,415
150,415,415
151,415,415
152,415,415
153,414.9,415
154,414.95,415
155,415,415
156,414.95,415
157,414.95,415
158,414.95,415
159,414.95,415
160,414.85,415
161,414.95,415
162,415,415
163,413.65,415
164,415,415
165,414.85,415
166,414.95,415
167,414.85,415
168,414.5,415
169,414.95,415
170,414.3,415
171,413.75,415
172,413.85,415
173,413.8,415
174,414.45,415
175,415,415
176,414.35,415
177,415,415
178,414.25,415
179,414.85,415
180,414.15,415
181,414.05,415
182,413.55,415
183,414.7,415
184,414.9,415
185,415,415
186,414.8,415
187,414.9,415
188,415,415
189,414.95,415
190,415,415
191,415.1,417
192,415.15,417
193,415.35,417
194,415.45,417
195,414.8,417
196,415.75,417
197,415.9,417
198,415.85,417
199,416.1,417
200,415.35,417
201,416.4,417
202,416.2,417
203,416.55,417
204,416.7,417
205,416.8,417
206,416.85,417
207,416.9,417
208,416.35,417
209,417.05,418
210,417.1,418
211,416.6,418
212,417.2,418
213,416.95,418
214,417.2,418
215,417.3,418
216,416.8,418
217,417.15,418
218,416.8,418
219,417.4,418
220,417.35,418
221,417.25,418
222,417.6,418
223,416.75,418
224,417.55,418
225,417.7,418
226,417.75,419
227,417.6,419
228,417.5,419
229,417.3,419
230,418.1,419
231,418.05,419
232,417.95,419
233,417.55,419
234,417.4,419
235,418.1,419
236,417.8,419
237,418.35,419
238,418.25,419
239,417.7,419
240,418.55,419
241,418.4,419
242,418.6,419
243,418.6,419
244,418.65,419
245,418.25,419
246,418.15,419
247,418.55,419
248,418.8,419
249,418.85,419
250,418.95,419
